date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:33:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Jul%202020%2019:01:50%20GMT	https://jiomartshop.com/?p=21	E:/jiomart_shop/jiomartshop.com/index3965.html	(from https://jiomartshop.com/disclaimer/)
00:33:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Jul%202020%2019:01:47%20GMT	https://jiomartshop.com/?p=158	E:/jiomart_shop/jiomartshop.com/index8af0.html	(from https://jiomartshop.com/jiomart-customer-care/)
00:33:08	83/83	---MC-	409	error ('Conflict')	text/html	date:Sun,%2012%20Jul%202020%2019:03:07%20GMT	https://jiomartshop.com/contact-us/	E:/jiomart_shop/jiomartshop.com/contact-us/index.html	(from https://jiomartshop.com/)
00:33:08	0/-1	---M--	409	error ('')			https://jiomartshop.com/xmlrpc.php?rsd	E:/jiomart_shop/jiomartshop.com/xmlrpc0db0.html	(from https://jiomartshop.com/)
00:33:08	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Jul%202020%2019:01:47%20GMT	https://jiomartshop.com/?p=165	E:/jiomart_shop/jiomartshop.com/index17d5.html	(from https://jiomartshop.com/jio-phone-3-price-booking-specifications/)
00:33:09	83/83	---MC-	409	error ('Conflict')	text/html	date:Sun,%2012%20Jul%202020%2019:03:09%20GMT	https://jiomartshop.com/xmlrpc.php	E:/jiomart_shop/jiomartshop.com/xmlrpc.html	(from https://jiomartshop.com/jio-mart-offers/)
00:33:09	34493/34493	---M--	200	added ('OK')	image/jpeg	date:Tue,%2002%20Jun%202020%2012:28:47%20GMT	https://jiomartshop.com/wp-content/uploads/2020/06/JioMart-Jobs.jpg	E:/jiomart_shop/jiomartshop.com/wp-content/uploads/2020/06/JioMart-Jobs.jpg	(from https://jiomartshop.com/author/jiomartshop/)
00:33:09	25589/25589	---M--	200	added ('OK')	image/jpeg	date:Mon,%2001%20Jun%202020%2013:48:02%20GMT	https://jiomartshop.com/wp-content/uploads/2020/06/JioMart-App-Download.jpg	E:/jiomart_shop/jiomartshop.com/wp-content/uploads/2020/06/JioMart-App-Download.jpg	(from https://jiomartshop.com/author/jiomartshop/)
00:33:10	13504/13504	---M--	200	added ('OK')	image/jpeg	date:Thu,%2028%20May%202020%2010:25:24%20GMT	https://jiomartshop.com/wp-content/uploads/2020/05/JioMart-Franchise.jpg	E:/jiomart_shop/jiomartshop.com/wp-content/uploads/2020/05/JioMart-Franchise.jpg	(from https://jiomartshop.com/author/jiomartshop/)
00:33:12	51580/51580	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2017:15:48%20GMT	https://jiomartshop.com/author/jiomartshop/page/2/	E:/jiomart_shop/jiomartshop.com/author/jiomartshop/page/2/index.html	(from https://jiomartshop.com/author/jiomartshop/)
00:33:12	14838/14838	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Jul%202020%2011:33:40%20GMT	https://jiomartshop.com/category/jio-mart-coupons/feed/	E:/jiomart_shop/jiomartshop.com/category/jio-mart-coupons/feed/index.html	(from https://jiomartshop.com/category/jio-mart-coupons/)
00:33:12	65413/65413	---MC-	200	added ('OK')	application/rss+xml	date:Sun,%2012%20Jul%202020%2011:33:40%20GMT	https://jiomartshop.com/author/jiomartshop/feed/	E:/jiomart_shop/jiomartshop.com/author/jiomartshop/feed/index.html	(from https://jiomartshop.com/author/jiomartshop/)
00:33:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Jul%202020%2019:03:10%20GMT	https://jiomartshop.com/?p=23	E:/jiomart_shop/jiomartshop.com/index40a0.html	(from https://jiomartshop.com/privacy-policy/)
00:33:15	53049/53049	---MCZ	200	added ('OK')	text/html	date:Sun,%2012%20Jul%202020%2012:43:53%20GMT	https://jiomartshop.com/facebook-reliance-deal-to-push-jiomart/	E:/jiomart_shop/jiomartshop.com/facebook-reliance-deal-to-push-jiomart/index.html	(from https://jiomartshop.com/jiomart-whatsapp-how-to-place-an-order/)
